ACTION,COORDINATES,ID,NAME,CONCENTRATION,COLOR,SYMBOL,KEY,VALUE,ENTITY
APPEND,P6,,comp-4,0.375,blue,comp-4,,,Chemistry::Compound
APPEND,P7,,comp-1,0.376,blue,comp-1,,,Chemistry::Compound
APPEND,P8,,comp-2,0.377,blue,comp-2,,,Chemistry::Compound
APPEND,P9,,comp-4,0.378,blue,comp-4,,,Chemistry::Compound
APPEND,P10,,comp-1,0.379,blue,comp-1,,,Chemistry::Compound
APPEND,P11,,comp-2,0.38,blue,comp-2,,,Chemistry::Compound
APPEND,P12,,comp-4,0.381,blue,comp-4,,,Chemistry::Compound
APPEND,P13,,comp-1,0.382,blue,comp-1,,,Chemistry::Compound
APPEND,P14,,comp-2,0.383,blue,comp-2,,,Chemistry::Compound
APPEND,P15,,comp-4,0.384,blue,comp-4,,,Chemistry::Compound
APPEND,P16,,comp-1,0.385,blue,comp-1,,,Chemistry::Compound
APPEND,P17,,comp-2,0.386,blue,comp-2,,,Chemistry::Compound
APPEND,P18,,comp-4,0.387,blue,comp-4,,,Chemistry::Compound
APPEND,P19,,comp-1,0.388,blue,comp-1,,,Chemistry::Compound
APPEND,P20,,comp-2,0.389,blue,comp-2,,,Chemistry::Compound
APPEND,P21,,comp-4,0.39,blue,comp-4,,,Chemistry::Compound
APPEND,P22,,comp-1,0.391,blue,comp-1,,,Chemistry::Compound
APPEND,P23,,comp-2,0.392,blue,comp-2,,,Chemistry::Compound
APPEND,P24,,comp-4,0.393,blue,comp-4,,,Chemistry::Compound
